Original_Category,Encoded_Value
A0ATZNFC,0
A7ATZNFC,1
AUATZNFC,2
B0,3
B00EXS2,4
B00FXS5,5
B00GXS2,6
B00IXS2,7
B00NXS2,8
B00PXS2,9
B00PXS5,10
B00QXS2,11
B00RXS2,12
B00SXS2,13
B00XXS2,14
B00YXS2,15
B01PXP5,16
B01PXS5,17
B03PXS6,18
B0AHZNC1,19
B0AHZNN1,20
B0AHZNN3,21
B0AHZNT1,22
B0AHZRU1,23
B0AHZSN1,24
B0AIKSN1,25
B0AIZNN1,26
B0AIZRN1,27
B0AIZSN1,28
B0AJUNN1,29
B0AJZNC1,30
B0AJZNN1,31
B0AJZNN3,32
B0AJZNT1,33
B0AJZRU1,34
B0AJZSC1,35
B0AJZSN1,36
B0AJZSN3,37
B0AKZNN1,38
B0AKZRN1,39
B0AKZSN1,40
B0APZNC1,41
B0APZNN1,42
B0APZNT1,43
B0APZRN1,44
B0APZRU1,45
B0AWVNN1,46
B0AWWNN1,47
B0AWZNC1,48
B0AWZNN1,49
B0AWZRN1,50
B0AZUNN1,51
B0AZZNN1,52
B0AZZNN3,53
B0AZZRN1,54
B0AZZRU1,55
B0CNX,56
B0CXNR,57
B0DACAY,58
B0FHZNN1,59
B0N,60
B0NR,61
B3AHZNN1,62
B3AHZSN1,63
B3AIZNC1,64
B3AIZNN1,65
B3AIZNN3,66
B3AIZSN1,67
B3AJKSN1,68
B3AJXSN1,69
B3AJZNC1,70
B3AJZNN1,71
B3AJZNN3,72
B3AJZSN1,73
B3AJZSN3,74
B3AKZNN1,75
B3APZNN1,76
B3AWZNN1,77
B3AZZNN1,78
B3AZZNN3,79
B3BHZNN1,80
B3BJZSN1,81
B3BZZNN1,82
B7AHZNN1,83
B7AHZNN3,84
B7AHZNT1,85
B7AHZSN1,86
B7AIZNN1,87
B7AIZNN3,88
B7AIZSN1,89
B7AIZSN3,90
B7AJUSN1,91
B7AJZNN1,92
B7AJZNN3,93
B7AJZSN1,94
B7AKZNN1,95
B7AKZNN3,96
B7AKZSN1,97
B7APZNN1,98
B7AUZNN1,99
B7AUZNN3,100
B7AUZON1,101
B7AWZNN1,102
B7AZZNN1,103
B7AZZNN3,104
B7BHZNN1,105
B7BJZSN1,106
B7BZZNN1,107
B7CXNR,108
B7FHZNN1,109
B7NE,110
B8AHZNN1,111
B8AIZNN1,112
B8AJZNN1,113
B8AKZNN1,114
B8AZZNN1,115
BA0GA0MQ,116
BA0NA0MC,117
BA0NA0MQ,118
BA0NK7MQ,119
BA0NL0MQ,120
BA0NX0MQ,121
BA0OA0MC,122
BA0OA0MQ,123
BA0OB4MC,124
BA0OB4MQ,125
BA0OG3MQ,126
BA0OH3MC,127
BA0OH3MQ,128
BA0OJ0MQ,129
BA0OL0MC,130
BA0OL0MQ,131
BA0OX0MC,132
BA0OX0MQ,133
BA0QA0MC,134
BA0QA0MQ,135
BA0SA0MC,136
BA0SA0MQ,137
BA0SL0MQ,138
BA0SX0MQ,139
BA0TA0MC,140
BA0TA0MD,141
BA0TA0MQ,142
BA0TC2MC,143
BA0TL0MC,144
BA0TX0MC,145
BA0TX0MQ,146
BA0UA0MC,147
BA0UA0MQ,148
BA0VA0MC,149
BA0VA0MQ,150
BA0ZA0M2,151
BA3NA0MC,152
BA3NA0MQ,153
BA3NQ2MC,154
BA3OA0MC,155
BA3OA0MG,156
BA3OA0MQ,157
BA3OB4MQ,158
BA3OG3MQ,159
BA3OJ0MQ,160
BA3OL0MC,161
BA3OL0MQ,162
BA3OX0MC,163
BA3OX0MG,164
BA3OX0MQ,165
BA3TA0MC,166
BA3TA5MC,167
BA3TC2MC,168
BA3TL0MC,169
BA3TX0MC,170
BA3TX0MG,171
BA3TX3MC,172
BA3TX5MC,173
BA7NA0MC,174
BA7NA0MG,175
BA7NA0MQ,176
BA7NK7MG,177
BA7OA0MC,178
BA7OA0MG,179
BA7OA0MQ,180
BA7OC2MC,181
BA7OC2MG,182
BA7OF4MG,183
BA7OH3MQ,184
BA7OJ0MG,185
BA7OK4MG,186
BA7OK7MG,187
BA7OK7MQ,188
BA7OX0MC,189
BA7OX0MG,190
BA7OX0MQ,191
BA7OX2MG,192
BA7OX8MQ,193
BA7QA0MQ,194
BA7SA0MC,195
BA7TA0MC,196
BA7TA0MQ,197
BA7TA5MC,198
BA7TC2MC,199
BA7TH3MC,200
BA7TX0MC,201
BA7VA0MC,202
BAA0ADEM,203
BAA0ADEN,204
BAA0ADFN,205
BAA0ADIN,206
BAA0AFEM,207
BAA0AFEN,208
BAA0AFIN,209
BAA0JREM,210
BAA0JREN,211
BATNA0MQ,212
BATOA0MC,213
BATOA0MQ,214
BATOX0MC,215
BATOX0MQ,216
BATTA0MC,217
BAUNA0MC,218
BAUNA0MQ,219
BAUNA5MC,220
